sample_ID,,,204Pb_206Pb,207Pb_206Pb,206Pb_percent,U_ppm,Th_U,206Pb_238U_date,206Pb_238U_date_err,207Pb_206Pb_date,207Pb_206Pb_date_err,207Pb_235U,207Pb_235U_err,206Pb_238U,206Pb_238U_err,rho,rim_core
S09,1,1.1,0.000055,0.0766,0.094,230,0.39,1227,77,1090,17,2.191,6.9,0.2096,6.9,0.992,core
S09,1,2.1*,0.000028,0.0743,0.048,350,0.98,1011,22,1038,29,1.73,2.7,0.1699,2.3,0.853,rim
S09,1,3.1,0.000033,0.0824,0.055,460,0.37,1190,25,1243,22,2.288,2.6,0.2027,2.3,0.898,core
S09,1,4.1,0.000049,0.0806,0.082,210,0.32,1195,25,1194,97,2.244,5.4,0.2037,2.3,0.422,core
S09,1,4.2*,0.00002,0.0735,0.035,2800,0.02,1086,20,1019,27,1.852,2.4,0.1836,2,0.825,rim
S09,1,4.3*,0.00001,0.0712,0.018,6200,0.03,843,16,958,10,1.368,2.1,0.1398,2,0.969,rim
S09,1,5.1*,0.000095,0.0759,0.16,240,1.1,1022,22,1055,34,1.764,2.9,0.1717,2.3,0.805,rim
S09,1,6.1,0.000043,0.0712,0.074,220,0.35,1225,26,946,83,2.037,4.7,0.2092,2.3,0.49,core
S09,1,6.2*,0.00001,0.073,0.017,2700,0.02,1015,19,1011,22,1.714,2.3,0.1705,2,0.878,rim
S09,1,7.1*,-0.000008,0.0742,-0.013,300,0.71,1020,21,1049,30,1.755,2.7,0.1714,2.2,0.838,rim
S09,1,7.2*,0.000044,0.0719,0.075,380,0.67,1027,20,964,47,1.697,3.1,0.1728,2.1,0.675,rim
S09,1,8.1,0.000036,0.0786,0.06,420,0.39,1139,14,1149,58,2.081,3.2,0.1933,1.3,0.416,core
S09,1,8.2*,0.000002,0.0742,0.004,4300,0.02,954,19,1046,11,1.63,2.2,0.1594,2.1,0.968,rim
S09,1,9.1,-0.000011,0.0791,-0.019,170,0.42,1157,16,1179,33,2.149,2.3,0.1966,1.5,0.674,core
S09,1,10.1,0.000062,0.0708,0.11,200,0.33,1191,24,927,70,1.957,4.1,0.203,2.2,0.547,core
S09,1,11.1,0.000051,0.0875,0.083,250,0.42,1233,46,1356,95,2.522,6.5,0.2107,4.1,0.642,core
S09,1,12.1,0.000068,0.0801,0.11,220,0.63,1188,25,1174,65,2.207,4,0.2024,2.3,0.572,core
S09,1,13.1,0.000039,0.0796,0.065,190,0.57,1221,26,1174,32,2.273,2.8,0.2085,2.3,0.817,core
S09,1,14.1,0.000029,0.0807,0.048,370,0.32,1103,22,1204,14,2.065,2.3,0.1866,2.2,0.947,core
S09,1,14.2*,0,0.0721,0,580,0.32,997,19,987,22,1.662,2.3,0.1673,2.1,0.889,rim
S09,1,15.1,0.000068,0.0769,0.12,200,0.35,1219,75,1094,150,2.18,10,0.2082,6.7,0.672,core
S09,1,16.1,0.000058,0.0755,0.098,510,0.16,1218,23,1060,41,2.141,2.9,0.2079,2.1,0.717,core
S09,1,17.1,-0.000011,0.0804,-0.018,190,0.29,1081,62,1210,150,2.027,9.7,0.1826,6.3,0.649,core
S09,1,18.1,0.000088,0.0786,0.15,220,0.45,1198,45,1130,34,2.177,4.5,0.2042,4.1,0.924,core
S09,1,19.1,0,0.0771,0,200,0.34,1158,15,1123,160,2.091,8.1,0.1968,1.4,0.171,core
S09,1,19.2*,0.000029,0.0739,0.049,470,0.52,1025,20,1027,24,1.745,2.4,0.1723,2.1,0.867,rim
S09,1,20.1,0,0.0808,0,410,0.29,1151,65,1217,160,2.179,10.3,0.1955,6.1,0.597,core
S10,1,1.1,0.000075,0.0777,0.13,280,0.44,1163,28,1111,28,2.089,2.9,0.1977,2.6,0.883,core
S10,1,1.2,0.000039,0.074,0.066,280,0.38,1076,19,1027,48,1.84,3.1,0.1817,2,0.637,core
S10,1,1.3*,0.001323,0.0874,2.3,450,0.45,1053,17,881,120,1.673,6.3,0.1774,1.7,0.277,rim
S10,1,2.1,0.000128,0.0789,0.22,170,0.37,1174,53,1124,89,2.123,6.7,0.1997,4.9,0.741,core
S10,1,3.1,0.000058,0.0782,0.097,500,0.34,1155,41,1131,76,2.093,5.4,0.1962,3.8,0.711,core
S10,1,3.2*,0.000235,0.0787,0.4,730,0.24,1021,19,1078,30,1.782,2.5,0.1715,2.1,0.808,rim
S10,1,4.1,0.000148,0.0739,0.25,160,0.41,1168,55,979,100,1.965,7.3,0.1986,5.2,0.712,core
S10,1,5.1,-0.000014,0.076,-0.024,140,0.4,1022,17,1101,38,1.806,2.6,0.1718,1.8,0.686,core
S10,1,6.1,0.000129,0.0774,0.22,250,0.34,1047,19,1085,81,1.837,4.5,0.1763,2,0.441,core
S10,1,6.2*,0.00021,0.0755,0.36,420,0.47,1030,18,1000,57,1.731,3.4,0.1732,1.9,0.569,rim
S10,1,7.1,0.000123,0.0758,0.21,230,0.37,1112,33,1043,75,1.923,4.9,0.1883,3.2,0.654,core
S10,1,7.2*,0.000256,0.0757,0.44,340,0.26,1014,18,987,50,1.693,3.1,0.1704,1.9,0.621,rim
S10,1,8.1,0.000056,0.0758,0.096,210,0.34,1244,82,1067,76,2.2,8.2,0.2129,7.3,0.887,core
S10,1,9.1,0,0.0807,0,130,0.32,1135,19,1213,190,2.141,9.6,0.1925,1.8,0.19,core
S10,1,10.1,0.000062,0.0721,0.11,250,0.46,1061,19,962,33,1.756,2.6,0.179,2,0.776,core
S10,1,10.2*,0.000305,0.0757,0.52,1100,0.15,1035,16,967,65,1.713,3.6,0.1742,1.7,0.466,rim
S10,1,11.1,0.000229,0.0837,0.38,90,0.37,1220,28,1209,53,2.311,3.7,0.2083,2.5,0.685,core
S10,1,11.2*,0.000021,0.0744,0.036,1700,0.13,1041,20,1045,31,1.791,2.6,0.1752,2,0.795,rim
S10,1,12.1,0.00008,0.0798,0.13,260,0.42,1202,22,1163,29,2.222,2.5,0.2049,2,0.806,core
S10,1,12.2*,0.000119,0.0738,0.2,1200,0.15,1035,32,988,53,1.73,4.2,0.1741,3.3,0.788,rim
S10,1,13.1,0.000023,0.0769,0.039,180,0.34,1113,18,1111,98,1.99,5.2,0.1884,1.8,0.345,core
S10,1,14.1*,0.000047,0.0705,0.081,550,0.48,1079,18,924,71,1.755,3.9,0.1823,1.8,0.467,rim
S10,1,15.1,0.000043,0.0785,0.072,100,0.38,1197,27,1145,48,2.192,3.4,0.204,2.5,0.714,core
S10,1,16.1,0.000045,0.0827,0.075,85,0.45,1281,30,1248,47,2.489,3.5,0.2199,2.6,0.738,core
S10,1,17.1,0.000026,0.0817,0.042,74,0.5,1189,30,1229,49,2.271,3.7,0.2026,2.7,0.736,core
S10,1,18.1,0.000056,0.076,0.094,120,0.46,1211,26,1074,46,2.143,3.3,0.2067,2.3,0.718,core
S10,1,19.1,0.000022,0.0774,0.037,180,0.43,1190,20,1122,33,2.153,2.5,0.2027,1.8,0.731,core
S10,1,20.1,0.000053,0.0822,0.088,130,0.46,1225,26,1232,41,2.349,3.1,0.2093,2.3,0.741,core
S10,1,21.1,0.000192,0.076,0.33,170,0.35,1099,42,1020,99,1.876,6.4,0.1859,4.2,0.649,core
S10,1,22.1,0.000184,0.0794,0.31,140,0.49,1217,25,1115,43,2.198,3.1,0.2077,2.3,0.727,core
S10,1,22.2*,0.000092,0.0736,0.16,400,0.65,1037,18,994,27,1.74,2.3,0.1746,1.9,0.817,rim
S10,1,24.1*,0.006197,0.1634,10.5,500,0.3,986,21,1075,290,1.714,14.7,0.1652,2.3,0.154,rim
S10,1,25.1,0.002692,0.1136,4.6,880,0.18,995,16,1077,160,1.734,8.2,0.167,1.7,0.213,core
S10,1,25.2*,0.000162,0.071,0.28,420,0.38,944,18,889,41,1.494,2.9,0.1577,2.1,0.721,rim
S10,1,26.1,0.000075,0.0761,0.13,260,0.35,1116,22,1070,38,1.956,2.9,0.189,2.2,0.753,core
S10,1,27.1,0.000062,0.0783,0.11,170,0.4,1160,25,1131,42,2.104,3.1,0.1972,2.3,0.745,core
S10,1,27.2*,0.000617,0.0836,1.1,2700,0.07,1007,16,1064,37,1.745,2.5,0.1691,1.7,0.668,rim
S10,1,28.1,0.000096,0.0792,0.16,140,0.42,1125,25,1142,47,2.046,3.4,0.1906,2.5,0.724,core
S10,1,29.1*,0.000064,0.0759,0.11,330,0.33,1039,59,1068,170,1.808,10.6,0.1748,6.1,0.578,rim
S10,1,29.2,0.00017,0.0752,0.29,380,0.54,1013,19,1007,70,1.707,4,0.1702,2,0.497,core
ST10,1,1.1,0.000535,0.08,0.98,160,0.37,1192,32,994,62,2.025,4.2,0.2031,2.9,0.687,core
ST10,1,2.1*,0.000223,0.0751,0.41,200,0.73,1011,45,983,44,1.684,5.2,0.1699,4.8,0.911,rim
ST10,1,3.1,0.000427,0.0818,0.78,230,0.37,1217,79,1089,70,2.171,7.9,0.2078,7.1,0.897,core
ST10,1,3.2*,0.00001,0.0764,0.02,2400,0.01,1153,29,1101,8,2.058,2.8,0.1958,2.8,0.99,rim
ST10,1,4.1,0.000597,0.0811,1.1,250,0.4,959,55,1002,52,1.605,6.7,0.1604,6.2,0.923,core
ST10,1,5.1,0.000616,0.0845,1.1,240,0.5,1090,27,1089,70,1.924,4.4,0.1842,2.7,0.611,core
ST10,1,6.1,0.000413,0.0823,0.76,220,0.39,1187,30,1105,58,2.13,4,0.2022,2.7,0.682,core
ST10,1,7.1,0.00023,0.0804,0.42,370,0.31,1149,23,1124,41,2.075,3,0.1951,2.2,0.727,core
ST10,1,8.1,0.000194,0.0841,0.36,320,0.37,1123,57,1229,42,2.133,5.9,0.1903,5.5,0.933,core
ST10,1,9.1,0.000281,0.0812,0.51,200,0.4,1283,85,1127,40,2.344,7.6,0.2202,7.3,0.964,core
ST10,1,10.1,0.000481,0.0865,0.88,170,0.5,1313,35,1190,67,2.484,4.5,0.2259,2.9,0.651,core
ST10,1,11.1,0.000458,0.0821,0.84,160,0.3,1134,49,1084,120,2.005,7.4,0.1924,4.7,0.637,core
ST10,1,12.1,0.000332,0.0853,0.61,240,0.42,1155,62,1212,38,2.181,6.2,0.1962,5.9,0.95,core
ST10,1,13.1,0.000223,0.0792,0.41,370,0.5,1118,26,1096,27,1.985,2.8,0.1893,2.5,0.881,core
ST10,1,14.1,0.000148,0.0853,0.27,190,0.34,1160,57,1274,31,2.261,5.6,0.1971,5.4,0.961,core
ST10,1,14.2*,0.000044,0.0779,0.08,1200,0.03,1106,21,1129,10,1.994,2.2,0.1871,2.1,0.971,rim
ST10,1,15.1,0.00045,0.0834,0.82,170,0.26,1051,44,1121,99,1.879,6.7,0.177,4.6,0.675,core
ST10,1,16.1,0.00013,0.0809,0.24,820,0.43,1173,25,1173,23,2.175,2.6,0.1996,2.4,0.897,core
ST10,1,17.1,0.0002,0.0833,0.37,270,0.39,1243,25,1209,40,2.36,3,0.2126,2.2,0.741,core
ST10,1,18.1,0.000351,0.0833,0.64,180,0.41,1187,31,1156,56,2.185,4,0.2023,2.9,0.712,core
ST10,1,19.1*,0.000215,0.0769,0.39,360,0.57,1043,41,1037,44,1.788,4.8,0.1757,4.2,0.891,rim
ST10,1,20.1,0.000404,0.0832,0.74,260,0.32,1315,123,1133,100,2.416,11.5,0.2262,10.3,0.898,core
ST10,1,21.1,0.000511,0.0883,0.94,280,0.48,1159,28,1222,93,2.2,5.4,0.1969,2.6,0.485,core
ST10,1,22.1*,0.000287,0.078,0.53,270,0.71,1052,39,1040,66,1.808,5.2,0.1773,4,0.776,rim
ST10,1,23.1,0.000565,0.0801,1,270,0.35,1222,55,987,48,2.072,5.5,0.2086,4.9,0.901,core
ST10,1,24.1,0.000397,0.0859,0.73,320,0.29,1250,25,1205,61,2.37,3.8,0.214,2.2,0.575,core
ST10,1,25.1*,0.000466,0.078,0.85,260,0.64,1035,35,966,51,1.713,4.4,0.1742,3.6,0.826,rim
ST10,1,26.1,0.000272,0.0806,0.5,360,0.76,1159,26,1114,29,2.084,2.9,0.197,2.5,0.864,core
ST10,1,27.1,0.000428,0.0802,0.78,250,0.42,1152,43,1043,45,1.998,4.6,0.1957,4.1,0.878,core
ST10,1,28.1,0.000779,0.0817,1.4,220,0.44,1127,28,946,110,1.859,5.8,0.191,2.7,0.466,core
ST10,1,28.2*,0.00036,0.0755,0.66,460,0.54,1096,46,938,33,1.797,4.8,0.1854,4.6,0.942,rim
ST10,1,29.1,0.000231,0.0813,0.42,410,0.52,1141,26,1148,40,2.082,3.2,0.1936,2.4,0.773,core
ST10,1,30.1,0.000114,0.0819,0.21,370,0.53,1204,27,1205,29,2.276,2.9,0.2054,2.5,0.859,core
BV10,1.1,,0.000182,0.0834,0.3,88,0.48,1266,21,1217,41,2.418,2.7,0.217,1.8,0.658,core
BV10,1.2*,,0.00003,0.0723,0.052,660,0.15,1004,11,982,9,1.669,1.3,0.1685,1.2,0.942,rim
BV10,2.1,,-0.000038,0.0755,-0.063,180,0.36,1138,68,1095,162,2.023,10.4,0.193,6.5,0.625,core
BV10,3.1,,0.000018,0.0835,0.03,250,0.34,983,11,1275,14,1.89,1.4,0.1647,1.2,0.86,core
BV10,4.1*,,0.000042,0.0727,0.072,350,0.7,1038,40,989,36,1.737,4.6,0.1747,4.2,0.92,rim
BV10,5.1*,,0.000024,0.0723,0.042,550,0.27,1010,21,985,29,1.683,2.6,0.1697,2.2,0.837,rim
BV10,6.1,,0.000038,0.0788,0.063,170,0.46,1174,16,1153,28,2.154,2,0.1997,1.5,0.725,core
BV10,7.1,,0.000008,0.0791,0.014,300,0.18,1137,66,1172,71,2.1,7.3,0.1928,6.3,0.871,core
BV10,8.1,,0.000061,0.0741,0.1,140,0.37,1099,69,1020,130,1.876,9.2,0.1858,6.8,0.736,core
BV10,9.1*,,0.000029,0.0728,0.05,600,0.22,1043,49,996,73,1.752,6.2,0.1756,5.1,0.815,rim
BV10,10.1*,,-0.000024,0.0728,-0.042,510,0.49,1003,12,1018,42,1.699,2.4,0.1684,1.2,0.513,rim
BV10,11.1,,0.000083,0.078,0.14,250,0.34,995,11,1116,180,1.768,9,0.1669,1.2,0.129,core
BV10,12.1,,0.000025,0.0728,0.043,320,0.34,969,15,999,24,1.62,2.1,0.1622,1.7,0.817,core
BV10,12.2*,,0.00009,0.0738,0.15,790,0.15,954,11,1000,16,1.595,1.4,0.1595,1.2,0.828,rim
BV10,13.1,,0.000046,0.0746,0.079,400,0.32,1088,63,1039,110,1.873,8.4,0.1838,6.3,0.753,core
BV10,14.1,,0,0.0791,0,350,0.34,1053,56,1174,68,1.934,6.7,0.1774,5.8,0.861,core
BV10,15.1,,0.00002,0.076,0.034,520,0.25,1030,24,1089,44,1.809,3.3,0.1732,2.5,0.752,core
BV10,16.1*,,-0.000019,0.0718,-0.032,490,1.25,1010,19,987,9,1.684,2.1,0.1696,2,0.975,rim
BV10,17.1,,0.000085,0.0716,0.15,160,0.39,1006,14,940,35,1.64,2.3,0.1689,1.5,0.67,core
BV10,18.1,,0.000075,0.0788,0.13,200,0.51,1133,22,1140,28,2.059,2.5,0.1921,2.1,0.825,core
BV10,19.1,,0.000034,0.0746,0.057,220,0.32,1089,84,1044,130,1.879,10.7,0.184,8.4,0.787,core
BV10,20.1,,0.000012,0.0801,0.02,230,0.33,1049,81,1196,150,1.948,11.2,0.1767,8.4,0.752,core
BV10,21.1,,0.000072,0.0805,0.12,280,0.37,1172,20,1183,45,2.183,2.9,0.1993,1.8,0.625,core
BV10,22.1,,0.000023,0.0733,0.039,330,0.4,1015,25,1013,36,1.716,3.2,0.1705,2.7,0.831,core
BV10,23.1,,0.000018,0.0787,0.03,230,0.44,1137,15,1159,24,2.087,1.9,0.1929,1.4,0.756,core
BV10,24.1,,-0.000018,0.0714,-0.031,160,0.43,1049,12,976,130,1.745,6.4,0.1766,1.2,0.189,core
BV10,25.1,,0.000116,0.0802,0.2,130,0.49,1119,16,1162,35,2.054,2.4,0.1896,1.6,0.678,core
BV10,26.1,,-0.000064,0.0723,-0.11,290,0.33,998,11,1020,74,1.69,3.9,0.1674,1.2,0.3,core
BV10,27.1,,0.000208,0.0734,0.36,92,0.38,1061,56,939,130,1.735,8.7,0.1788,5.8,0.662,core
BV10,27.2*,,0.000024,0.073,0.041,520,0.08,974,17,1006,18,1.636,2.1,0.1632,1.9,0.907,rim
BV10,28.1,,-0.000024,0.077,-0.04,180,0.36,1038,69,1131,260,1.865,14.7,0.1748,7.2,0.489,core
BV10,29.1,,0.000054,0.0817,0.089,180,0.35,1097,55,1219,85,2.069,7,0.1854,5.5,0.785,core
BV10,30.1,,0.000093,0.0772,0.16,190,0.35,1034,11,1092,48,1.82,2.7,0.1739,1.2,0.445,core
BV10,31.1,,-0.000058,0.0764,-0.097,160,0.36,1083,15,1126,93,1.946,4.9,0.1829,1.5,0.312,core